sepal_length_cm,sepal_width_cm,petal_length_cm,petal_width_cm,species_name,petal_area,sepal_area,shape_ratio,avg_petal_length_by_species
6.4,3.2,4.5,1.5,versicolor,6.75,20.480000000000004,0.703125,4.26
6.9,3.1,4.9,1.5,versicolor,7.3500000000000005,21.39,0.7101449275362319,4.26
5.5,2.3,4.0,1.3,versicolor,5.2,12.649999999999999,0.7272727272727273,4.26
6.5,2.8,4.6,1.5,versicolor,6.8999999999999995,18.2,0.7076923076923076,4.26
5.7,2.8,4.5,1.3,versicolor,5.8500000000000005,15.959999999999999,0.7894736842105263,4.26
6.3,3.3,4.7,1.6,versicolor,7.5200000000000005,20.79,0.746031746031746,4.26
4.9,2.4,3.3,1.0,versicolor,3.3,11.76,0.6734693877551019,4.26
6.6,2.9,4.6,1.3,versicolor,5.9799999999999995,19.139999999999997,0.6969696969696969,4.26
5.2,2.7,3.9,1.4,versicolor,5.46,14.040000000000001,0.75,4.26
5.0,2.0,3.5,1.0,versicolor,3.5,10.0,0.7,4.26
5.9,3.0,4.2,1.5,versicolor,6.300000000000001,17.700000000000003,0.711864406779661,4.26
6.0,2.2,4.0,1.0,versicolor,4.0,13.200000000000001,0.6666666666666666,4.26
6.1,2.9,4.7,1.4,versicolor,6.58,17.689999999999998,0.7704918032786886,4.26
5.6,2.9,3.6,1.3,versicolor,4.680000000000001,16.24,0.6428571428571429,4.26
6.7,3.1,4.4,1.4,versicolor,6.16,20.77,0.6567164179104478,4.26
5.6,3.0,4.5,1.5,versicolor,6.75,16.799999999999997,0.8035714285714286,4.26
5.8,2.7,4.1,1.0,versicolor,4.1,15.66,0.7068965517241379,4.26
6.2,2.2,4.5,1.5,versicolor,6.75,13.640000000000002,0.7258064516129032,4.26
5.6,2.5,3.9,1.1,versicolor,4.29,14.0,0.6964285714285715,4.26
5.9,3.2,4.8,1.8,versicolor,8.64,18.880000000000003,0.8135593220338982,4.26
6.1,2.8,4.0,1.3,versicolor,5.2,17.08,0.6557377049180328,4.26
6.3,2.5,4.9,1.5,versicolor,7.3500000000000005,15.75,0.7777777777777779,4.26
6.1,2.8,4.7,1.2,versicolor,5.64,17.08,0.7704918032786886,4.26
6.4,2.9,4.3,1.3,versicolor,5.59,18.56,0.6718749999999999,4.26
6.6,3.0,4.4,1.4,versicolor,6.16,19.799999999999997,0.6666666666666667,4.26
6.8,2.8,4.8,1.4,versicolor,6.72,19.04,0.7058823529411765,4.26
6.7,3.0,5.0,1.7,versicolor,8.5,20.1,0.7462686567164178,4.26
6.0,2.9,4.5,1.5,versicolor,6.75,17.4,0.75,4.26
5.7,2.6,3.5,1.0,versicolor,3.5,14.82,0.6140350877192983,4.26
5.5,2.4,3.8,1.1,versicolor,4.18,13.2,0.6909090909090909,4.26
5.5,2.4,3.7,1.0,versicolor,3.7,13.2,0.6727272727272727,4.26
5.8,2.7,3.9,1.2,versicolor,4.68,15.66,0.6724137931034483,4.26
6.0,2.7,5.1,1.6,versicolor,8.16,16.200000000000003,0.85,4.26
5.4,3.0,4.5,1.5,versicolor,6.75,16.200000000000003,0.8333333333333333,4.26
6.0,3.4,4.5,1.6,versicolor,7.2,20.4,0.75,4.26
6.7,3.1,4.7,1.5,versicolor,7.050000000000001,20.77,0.7014925373134329,4.26
6.3,2.3,4.4,1.3,versicolor,5.720000000000001,14.489999999999998,0.6984126984126985,4.26
5.6,3.0,4.1,1.3,versicolor,5.33,16.799999999999997,0.7321428571428571,4.26
5.5,2.5,4.0,1.3,versicolor,5.2,13.75,0.7272727272727273,4.26
5.5,2.6,4.4,1.2,versicolor,5.28,14.3,0.8,4.26
6.1,3.0,4.6,1.4,versicolor,6.4399999999999995,18.299999999999997,0.7540983606557377,4.26
5.8,2.6,4.0,1.2,versicolor,4.8,15.08,0.6896551724137931,4.26
5.0,2.3,3.3,1.0,versicolor,3.3,11.5,0.6599999999999999,4.26
5.6,2.7,4.2,1.3,versicolor,5.460000000000001,15.12,0.7500000000000001,4.26
5.7,3.0,4.2,1.2,versicolor,5.04,17.1,0.7368421052631579,4.26
5.7,2.9,4.2,1.3,versicolor,5.460000000000001,16.53,0.7368421052631579,4.26
6.2,2.9,4.3,1.3,versicolor,5.59,17.98,0.6935483870967741,4.26
5.1,2.5,3.0,1.1,versicolor,3.3000000000000003,12.75,0.5882352941176471,4.26
5.7,2.8,4.1,1.3,versicolor,5.33,15.959999999999999,0.719298245614035,4.26
6.3,3.3,6.0,2.5,virginica,15.0,20.79,0.9523809523809524,5.5520000000000005
5.8,2.7,5.1,1.9,virginica,9.69,15.66,0.8793103448275862,5.5520000000000005
7.1,3.0,5.9,2.1,virginica,12.39,21.299999999999997,0.8309859154929579,5.5520000000000005
6.3,2.9,5.6,1.8,virginica,10.08,18.27,0.8888888888888888,5.5520000000000005
6.5,3.0,5.8,2.2,virginica,12.76,19.5,0.8923076923076922,5.5520000000000005
7.6,3.0,6.6,2.1,virginica,13.86,22.799999999999997,0.868421052631579,5.5520000000000005
4.9,2.5,4.5,1.7,virginica,7.6499999999999995,12.25,0.9183673469387754,5.5520000000000005
7.3,2.9,6.3,1.8,virginica,11.34,21.169999999999998,0.863013698630137,5.5520000000000005
6.7,2.5,5.8,1.8,virginica,10.44,16.75,0.8656716417910447,5.5520000000000005
7.2,3.6,6.1,2.5,virginica,15.25,25.92,0.8472222222222221,5.5520000000000005
6.5,3.2,5.1,2.0,virginica,10.2,20.8,0.7846153846153846,5.5520000000000005
6.4,2.7,5.3,1.9,virginica,10.069999999999999,17.28,0.8281249999999999,5.5520000000000005
6.8,3.0,5.5,2.1,virginica,11.55,20.4,0.8088235294117647,5.5520000000000005
5.7,2.5,5.0,2.0,virginica,10.0,14.25,0.8771929824561403,5.5520000000000005
5.8,2.8,5.1,2.4,virginica,12.239999999999998,16.24,0.8793103448275862,5.5520000000000005
6.4,3.2,5.3,2.3,virginica,12.19,20.480000000000004,0.8281249999999999,5.5520000000000005
6.5,3.0,5.5,1.8,virginica,9.9,19.5,0.8461538461538461,5.5520000000000005
7.7,3.8,6.7,2.2,virginica,14.740000000000002,29.259999999999998,0.8701298701298701,5.5520000000000005
7.7,2.6,6.9,2.3,virginica,15.87,20.02,0.8961038961038962,5.5520000000000005
6.0,2.2,5.0,1.5,virginica,7.5,13.200000000000001,0.8333333333333334,5.5520000000000005
6.9,3.2,5.7,2.3,virginica,13.11,22.080000000000002,0.8260869565217391,5.5520000000000005
5.6,2.8,4.9,2.0,virginica,9.8,15.679999999999998,0.8750000000000001,5.5520000000000005
7.7,2.8,6.7,2.0,virginica,13.4,21.56,0.8701298701298701,5.5520000000000005
6.3,2.7,4.9,1.8,virginica,8.82,17.01,0.7777777777777779,5.5520000000000005
6.7,3.3,5.7,2.1,virginica,11.97,22.11,0.8507462686567164,5.5520000000000005
7.2,3.2,6.0,1.8,virginica,10.8,23.040000000000003,0.8333333333333333,5.5520000000000005
6.2,2.8,4.8,1.8,virginica,8.64,17.36,0.7741935483870968,5.5520000000000005
6.1,3.0,4.9,1.8,virginica,8.82,18.299999999999997,0.8032786885245903,5.5520000000000005
6.4,2.8,5.6,2.1,virginica,11.76,17.919999999999998,0.8749999999999999,5.5520000000000005
7.2,3.0,5.8,1.6,virginica,9.28,21.6,0.8055555555555555,5.5520000000000005
7.4,2.8,6.1,1.9,virginica,11.589999999999998,20.72,0.8243243243243242,5.5520000000000005
7.9,3.8,6.4,2.0,virginica,12.8,30.02,0.810126582278481,5.5520000000000005
6.4,2.8,5.6,2.2,virginica,12.32,17.919999999999998,0.8749999999999999,5.5520000000000005
6.3,2.8,5.1,1.5,virginica,7.6499999999999995,17.639999999999997,0.8095238095238095,5.5520000000000005
6.1,2.6,5.6,1.4,virginica,7.839999999999999,15.86,0.9180327868852459,5.5520000000000005
7.7,3.0,6.1,2.3,virginica,14.029999999999998,23.1,0.7922077922077921,5.5520000000000005
6.3,3.4,5.6,2.4,virginica,13.44,21.419999999999998,0.8888888888888888,5.5520000000000005
6.4,3.1,5.5,1.8,virginica,9.9,19.840000000000003,0.859375,5.5520000000000005
6.0,3.0,4.8,1.8,virginica,8.64,18.0,0.7999999999999999,5.5520000000000005
6.9,3.1,5.4,2.1,virginica,11.340000000000002,21.39,0.782608695652174,5.5520000000000005
6.7,3.1,5.6,2.4,virginica,13.44,20.77,0.835820895522388,5.5520000000000005
6.9,3.1,5.1,2.3,virginica,11.729999999999999,21.39,0.7391304347826086,5.5520000000000005
6.8,3.2,5.9,2.3,virginica,13.57,21.76,0.8676470588235294,5.5520000000000005
6.7,3.3,5.7,2.5,virginica,14.25,22.11,0.8507462686567164,5.5520000000000005
6.7,3.0,5.2,2.3,virginica,11.959999999999999,20.1,0.7761194029850746,5.5520000000000005
6.3,2.5,5.0,1.9,virginica,9.5,15.75,0.7936507936507937,5.5520000000000005
6.5,3.0,5.2,2.0,virginica,10.4,19.5,0.8,5.5520000000000005
6.2,3.4,5.4,2.3,virginica,12.42,21.08,0.8709677419354839,5.5520000000000005
5.9,3.0,5.1,1.8,virginica,9.18,17.700000000000003,0.8644067796610169,5.5520000000000005
