carat,cut,color,clarity,depth,table,price,x,y,z,volume
1.76,Premium,I,SI2,62.0,58.0,10043,7.76,7.72,4.8,287.55456
1.51,Very Good,H,VS1,61.5,54.0,10045,7.34,7.42,4.54,247.261112
1.5,Very Good,E,SI1,60.5,63.0,10046,7.42,7.35,4.48,244.32576000000003
1.08,Ideal,F,VVS2,61.6,57.0,10046,6.57,6.6,4.06,176.04971999999998
1.03,Ideal,F,VVS2,61.1,57.0,10049,6.51,6.54,3.99,169.87584600000002
1.52,Very Good,I,VS2,62.3,58.0,10051,7.32,7.28,4.55,242.46768000000003
1.77,Ideal,D,SI2,60.9,53.0,10051,7.92,7.85,4.8,298.4256
1.08,Ideal,F,VVS2,62.1,55.0,10052,6.57,6.6,4.09,177.35058
1.2,Premium,G,VVS2,62.8,59.0,10053,6.72,6.65,4.2,187.6896
1.51,Very Good,H,SI1,63.3,57.0,10053,7.23,7.34,4.61,244.64440200000004
1.11,Ideal,G,IF,61.2,54.0,10053,6.71,6.73,4.11,185.60061300000004
1.2,Premium,E,VS1,60.7,57.0,10053,6.89,6.81,4.16,195.190944
1.2,Premium,G,VVS2,61.2,58.0,10053,6.88,6.84,4.2,197.64864
1.71,Premium,I,VS1,60.3,62.0,10055,7.76,7.7,4.66,278.44432
1.89,Premium,G,SI2,62.9,58.0,10055,7.87,7.81,4.93,303.020971
1.07,Ideal,F,VVS2,62.3,57.0,10061,6.56,6.58,4.09,176.544032
1.66,Premium,J,VVS2,62.6,59.0,10062,7.58,7.54,4.73,270.334636
1.53,Ideal,H,SI1,59.8,59.0,10063,7.48,7.54,4.49,253.23240800000002
1.51,Premium,H,SI1,58.0,59.0,10063,7.57,7.54,4.38,250.000764
1.6,Premium,D,SI2,61.9,58.0,10064,7.54,7.49,4.65,262.60689
1.2,Premium,F,VVS2,60.5,60.0,10064,6.98,6.87,4.19,200.92139400000005
1.09,Premium,G,IF,61.3,58.0,10065,6.64,6.6,4.06,177.92543999999998
1.11,Very Good,F,VVS1,62.5,59.0,10069,6.59,6.63,4.13,180.446721
1.34,Ideal,G,VS1,62.7,57.0,10070,7.1,7.04,4.43,221.42911999999995
1.31,Premium,G,VS1,61.5,59.0,10071,7.06,7.0,4.32,213.49439999999998
1.31,Ideal,G,VS1,62.2,56.0,10071,7.05,7.01,4.37,215.96758499999999
1.31,Ideal,G,VS1,61.5,57.0,10071,7.06,7.02,4.33,214.59999599999998
2.52,Fair,G,I1,66.9,57.0,10076,8.39,8.33,5.6,391.37672
1.53,Very Good,H,VS1,59.5,63.0,10076,7.51,7.44,4.45,248.64108000000002
1.26,Premium,F,VS1,62.7,58.0,10076,6.93,6.86,4.32,205.371936
1.73,Ideal,J,VS2,63.0,57.0,10076,7.64,7.6,4.8,278.70719999999994
1.52,Premium,H,SI1,62.5,58.0,10078,7.33,7.29,4.57,244.20114900000004
1.6,Very Good,H,SI1,63.1,58.0,10078,7.45,7.39,4.68,257.65974
1.52,Good,H,SI1,63.6,57.0,10078,7.3,7.25,4.63,245.04274999999998
1.52,Good,H,SI1,63.8,60.0,10078,7.3,7.24,4.64,245.23327999999998
1.19,Ideal,D,VS1,61.1,57.0,10079,6.84,6.87,4.19,196.89145200000002
1.5,Very Good,E,SI2,63.5,60.0,10080,7.25,7.21,4.59,239.93077499999998
1.5,Ideal,I,VS1,61.3,57.0,10080,7.35,7.32,4.5,242.109
1.5,Premium,I,VS1,62.7,59.0,10080,7.3,7.25,4.56,241.33799999999997
1.5,Premium,E,SI2,59.5,55.0,10080,7.51,7.47,4.46,250.20466199999998
1.5,Premium,H,SI1,61.4,58.0,10080,7.41,7.28,4.51,243.291048
1.5,Ideal,H,VS1,61.3,55.0,10080,7.37,7.34,4.51,243.97205799999998
1.5,Premium,E,SI2,61.2,59.0,10080,7.41,7.36,4.52,246.509952
1.5,Premium,E,SI2,60.7,55.0,10080,7.44,7.39,4.5,247.4172
1.5,Fair,E,SI2,66.3,60.0,10080,7.09,7.02,4.68,232.93202399999998
1.16,Ideal,G,IF,62.3,55.0,10082,6.79,6.73,4.21,192.383107
1.16,Ideal,G,IF,62.0,57.0,10082,6.73,6.7,4.16,187.57856
1.21,Premium,D,VS1,60.2,59.0,10083,6.89,6.86,4.14,195.678756
1.71,Premium,H,VS2,59.2,61.0,10084,7.83,7.77,4.62,281.076642
1.72,Good,G,SI2,62.8,59.3,10084,7.55,7.62,4.76,273.84756
1.74,Ideal,E,SI2,62.3,57.0,10085,7.8,7.7,4.83,290.0898
1.51,Good,G,SI1,63.3,58.0,10085,7.2,7.26,4.58,239.40576
1.74,Very Good,H,SI2,62.1,59.0,10086,7.65,7.78,4.79,285.08643
1.5,Premium,G,SI1,62.7,58.0,10087,7.28,7.23,4.55,239.48652
1.51,Good,E,SI1,60.4,61.0,10088,7.33,7.37,4.44,239.85812400000003
1.82,Very Good,J,VS1,62.2,56.0,10090,7.83,7.96,4.91,306.024588
1.51,Very Good,H,VS2,61.9,57.0,10090,7.32,7.36,4.54,244.59340800000004
1.3,Ideal,F,VS2,62.2,56.0,10090,6.98,6.94,4.33,209.75039600000005
1.3,Premium,F,VS2,60.4,59.0,10090,7.12,7.06,4.28,215.14361599999998
1.5,Very Good,I,VVS2,63.3,58.0,10090,7.27,7.24,4.59,241.593732
1.56,Premium,E,SI2,62.4,60.0,10090,7.41,7.36,4.61,251.41833600000004
1.5,Premium,D,SI2,59.9,60.0,10090,7.48,7.41,4.46,247.20352800000003
1.7,Premium,G,SI2,58.9,62.0,10091,7.79,7.72,4.57,274.834316
1.57,Ideal,I,VS2,61.5,56.0,10093,7.56,7.49,4.63,262.170972
1.07,Ideal,F,VVS2,60.3,55.0,10093,6.65,6.68,4.02,178.57643999999996
1.31,Very Good,E,VS2,63.1,56.0,10094,6.95,6.9,4.37,209.56335000000004
1.49,Premium,H,SI1,61.9,57.0,10096,7.35,7.31,4.54,243.92738999999997
1.71,Ideal,I,SI2,62.1,58.0,10096,7.64,7.56,4.72,272.619648
1.51,Ideal,H,SI1,61.9,58.0,10096,7.33,7.37,4.55,245.800555
1.33,Good,G,VS1,62.8,60.0,10096,6.87,6.92,4.33,205.849932
1.53,Premium,I,VS1,61.2,59.0,10098,7.39,7.41,4.53,248.06234700000002
1.75,Very Good,I,SI2,61.2,57.0,10098,7.71,7.76,4.73,282.994008
1.61,Ideal,I,VS2,62.5,57.0,10098,7.49,7.43,4.66,259.332262
1.31,Ideal,G,VS1,61.9,56.0,10099,7.03,7.13,4.38,219.54268199999999
1.22,Ideal,F,VS1,62.3,57.0,10100,6.83,6.79,4.24,196.632968
1.64,Good,I,SI1,57.9,61.0,10102,7.78,7.74,4.49,270.37522800000005
1.07,Ideal,E,VVS2,61.7,57.0,10104,6.55,6.61,4.06,175.77973
1.59,Ideal,I,SI1,62.4,56.0,10106,7.48,7.46,4.66,260.03172800000004
1.59,Very Good,I,VS2,60.5,63.0,10106,7.52,7.45,4.53,253.78872
1.8,Very Good,J,SI1,61.4,55.0,10107,7.86,7.8,4.81,294.89148
1.79,Ideal,J,SI1,59.8,61.0,10108,7.87,7.91,4.72,293.82802399999997
1.22,Premium,G,VVS2,62.0,58.0,10111,6.9,6.85,4.26,201.3489
1.09,Premium,E,VVS2,59.9,59.0,10111,6.73,6.7,4.02,181.26582
1.58,Very Good,I,VS1,61.8,57.0,10112,7.5,7.56,4.64,263.08799999999997
1.23,Ideal,G,VVS1,63.2,56.0,10113,6.78,6.83,4.3,199.12181999999999
1.51,Very Good,E,SI1,63.1,56.0,10113,7.24,7.22,4.56,238.36396799999997
1.25,Ideal,D,VS2,62.6,56.0,10114,6.87,6.84,4.29,201.590532
1.17,Premium,D,VS1,61.7,59.0,10115,6.77,6.72,4.16,189.256704
1.51,Very Good,G,SI1,63.3,60.0,10116,7.2,7.24,4.57,238.22496
1.51,Premium,D,SI1,62.2,59.0,10122,7.34,7.29,4.55,243.46412999999998
1.5,Ideal,D,SI2,63.0,56.0,10122,7.3,7.25,4.58,242.3965
1.28,Ideal,G,VS1,62.1,57.0,10126,6.91,6.94,4.3,206.20822
1.43,Ideal,H,VVS2,61.6,54.0,10129,7.25,7.29,4.48,236.77920000000003
1.51,Good,H,VS1,59.9,61.0,10129,7.34,7.39,4.41,239.20986599999998
1.52,Ideal,F,SI2,61.9,57.0,10129,7.37,7.33,4.55,245.800555
1.52,Very Good,I,VS2,61.7,55.0,10130,7.39,7.32,4.54,245.590392
1.04,Very Good,D,VVS2,60.8,58.0,10130,6.49,6.53,3.96,167.823612
1.07,Ideal,E,VVS2,62.3,56.0,10133,6.51,6.61,4.09,175.997199
1.66,Very Good,H,SI1,62.8,56.0,10134,7.53,7.57,4.74,270.18995400000006
1.5,Good,F,VS2,64.0,56.0,10134,7.18,7.13,4.64,237.53737599999997
1.87,Ideal,J,SI1,62.3,57.0,10137,7.88,7.82,4.89,301.32962399999997
1.21,Premium,E,VS1,60.3,58.0,10137,6.95,6.91,4.18,200.74241
1.24,Ideal,F,VS1,61.5,54.0,10138,6.93,6.89,4.25,202.92772499999998
1.24,Ideal,F,VS1,60.9,54.0,10138,6.98,6.95,4.24,205.68664
1.5,Very Good,G,SI1,63.1,59.0,10139,7.22,7.27,4.57,239.876558
1.11,Very Good,F,VVS1,59.7,55.0,10141,6.77,6.82,4.06,187.45588399999997
1.1,Ideal,D,VS1,61.9,56.0,10144,6.58,6.61,4.09,177.88964199999998
1.52,Very Good,H,SI1,62.5,58.0,10145,7.28,7.34,4.57,244.19886400000001
1.53,Ideal,H,SI1,62.9,60.0,10145,7.36,7.28,4.61,247.00748800000002
1.5,Very Good,I,IF,62.9,58.0,10147,7.21,7.31,4.57,240.862307
1.01,Premium,D,VVS2,60.2,58.0,10147,6.57,6.51,3.94,168.516558
1.51,Ideal,E,SI2,62.6,53.0,10147,7.4,7.32,4.61,249.71448000000004
1.57,Premium,H,SI1,62.2,61.0,10149,7.38,7.32,4.57,246.878712
1.52,Very Good,G,SI1,62.5,58.0,10150,7.26,7.3,4.55,241.1409
1.68,Premium,I,SI1,61.5,59.0,10151,7.63,7.58,4.68,270.669672
1.53,Ideal,H,SI1,62.3,57.0,10153,7.41,7.36,4.6,250.87296
1.31,Ideal,G,VS1,60.5,57.0,10155,7.1,7.14,4.31,218.49113999999997
1.2,Premium,D,VS2,61.1,58.0,10161,6.85,6.83,4.18,195.56338999999997
1.8,Very Good,I,SI2,63.2,58.0,10161,7.75,7.66,4.87,289.10755
1.83,Premium,H,SI1,60.4,59.0,10162,7.89,7.85,4.75,294.198375
1.5,Very Good,I,VS1,62.2,59.0,10164,7.27,7.3,4.53,240.41163
1.54,Premium,I,VS1,61.6,58.0,10164,7.39,7.42,4.56,250.04212799999996
1.54,Good,I,VS1,63.6,60.0,10164,7.3,7.33,4.65,248.81685000000002
1.5,Ideal,I,VS1,62.0,54.0,10164,7.32,7.38,4.56,246.33849599999996
1.67,Very Good,I,VS2,60.7,60.0,10165,7.61,7.68,4.64,271.183872
1.7,Very Good,J,VS1,62.9,58.0,10165,7.54,7.67,4.79,277.014322
1.61,Premium,J,IF,62.1,58.0,10165,7.47,7.53,4.66,262.120806
1.2,Premium,G,IF,59.4,61.0,10169,6.95,6.92,4.12,198.14728000000002
1.53,Ideal,I,VS1,60.2,60.0,10171,7.51,7.48,4.51,253.34834800000002
1.2,Very Good,F,VVS2,63.8,58.0,10173,6.67,6.69,4.26,190.090998
1.21,Ideal,F,VS2,61.5,54.0,10177,6.88,6.89,4.24,200.989568
2.19,Premium,J,SI2,58.8,58.0,10179,8.57,8.53,5.03,367.703563
1.52,Premium,E,SI1,60.2,58.0,10180,7.44,7.37,4.46,244.554288
1.01,Good,G,VS2,63.6,56.0,10181,6.31,6.24,3.99,157.103856
2.02,Ideal,I,SI2,62.6,56.0,10181,8.05,8.01,5.03,324.33691500000003
2.09,Premium,H,SI2,61.0,60.0,10182,8.28,8.19,5.02,340.4222639999999
2.01,Fair,H,SI2,64.9,56.0,10184,7.88,7.81,5.09,313.25285199999996
2.01,Good,I,SI1,64.1,60.0,10184,7.92,7.88,5.06,315.79257599999994
2.01,Very Good,H,SI2,63.1,59.0,10184,7.96,7.88,5.0,313.624
1.24,Very Good,E,VS1,62.0,58.0,10185,6.9,6.96,4.3,206.5032
1.51,Ideal,H,VS1,61.2,58.0,10186,7.36,7.42,4.52,246.842624
1.35,Ideal,G,VS1,61.5,56.0,10193,7.12,7.15,4.39,223.48612
1.53,Premium,I,VS2,62.0,58.0,10196,7.41,7.36,4.58,249.78220800000003
1.09,Ideal,F,VVS2,62.0,56.0,10196,6.63,6.6,4.1,179.40779999999998
1.01,Ideal,F,VVS1,60.5,60.0,10197,6.45,6.47,3.91,163.170165
1.58,Ideal,I,VS2,61.4,55.0,10197,7.49,7.55,4.62,261.25869
1.61,Ideal,F,SI1,60.9,57.0,10197,7.58,7.51,4.6,261.85868
1.57,Very Good,H,SI1,62.0,60.0,10200,7.4,7.44,4.6,253.2576
1.24,Premium,G,VVS2,59.9,60.0,10202,6.98,7.0,4.19,204.72340000000003
1.24,Very Good,E,VS1,59.9,61.0,10202,6.96,6.99,4.18,203.358672
1.27,Premium,G,VVS2,61.0,58.0,10203,6.96,7.01,4.26,207.843696
1.08,Very Good,F,VVS1,61.0,58.0,10204,6.64,6.61,4.04,177.317216
1.5,Very Good,H,VS2,63.4,57.0,10206,7.27,7.2,4.59,240.25896
1.5,Fair,H,VS2,65.2,58.0,10206,7.12,7.06,4.62,232.23446399999997
1.5,Premium,D,SI2,60.5,59.0,10206,7.37,7.27,4.43,237.35895699999998
1.57,Ideal,I,VS1,62.3,57.0,10209,7.44,7.48,4.65,258.77808000000005
1.56,Ideal,F,SI2,61.6,56.0,10210,7.41,7.45,4.58,252.83661
1.51,Ideal,E,SI2,62.5,57.0,10210,7.29,7.34,4.57,244.53430200000003
1.12,Premium,F,VVS2,62.4,59.0,10211,6.66,6.58,4.13,180.988164
1.52,Premium,E,SI2,61.0,59.0,10214,7.39,7.33,4.49,243.217463
1.52,Ideal,I,VS1,62.9,60.0,10214,7.31,7.27,4.59,243.92958299999998
1.52,Very Good,E,SI2,63.3,58.0,10214,7.31,7.25,4.61,244.318475
1.5,Ideal,E,SI1,62.3,57.0,10214,7.33,7.28,4.55,242.79891999999998
1.2,Ideal,E,VS2,61.3,56.0,10214,6.89,6.84,4.21,198.40719599999997
1.51,Very Good,I,VS1,61.1,61.0,10215,7.32,7.37,4.49,242.228316
1.63,Very Good,H,SI1,59.8,60.0,10216,7.64,7.68,4.58,268.732416
1.51,Good,G,SI1,58.8,62.0,10216,7.4,7.49,4.38,242.76588
1.55,Fair,F,SI1,59.7,66.0,10217,7.59,7.47,4.49,254.570877
1.5,Ideal,G,SI1,61.7,56.0,10219,7.36,7.32,4.53,244.05465600000005
1.54,Premium,G,SI1,61.3,59.0,10219,7.41,7.38,4.53,247.726674
1.5,Premium,G,SI1,60.2,61.0,10219,7.28,7.2,4.36,228.53376000000003
1.01,Premium,D,VVS2,62.4,60.0,10221,6.31,6.36,3.95,158.51982
1.52,Premium,G,SI1,62.3,58.0,10221,7.35,7.31,4.57,245.539245
1.3,Ideal,G,VS1,62.0,55.0,10221,7.02,6.98,4.34,212.658264
1.22,Ideal,G,VVS2,62.3,56.0,10221,6.84,6.81,4.25,197.9667
1.07,Ideal,E,VVS2,61.3,56.0,10222,6.53,6.6,4.02,173.25395999999998
1.59,Premium,I,VS2,60.2,60.0,10222,7.61,7.58,4.57,263.61496600000004
1.53,Premium,H,VS2,59.3,59.0,10224,7.53,7.59,4.48,256.044096
1.53,Premium,H,VS2,59.8,58.0,10224,7.49,7.52,4.49,252.898352
1.51,Very Good,H,VS2,62.8,58.0,10225,7.21,7.28,4.55,238.82404000000002
1.37,Very Good,G,VS1,58.3,60.0,10226,7.3,7.35,4.27,229.10684999999995
1.13,Ideal,G,IF,61.7,57.0,10228,6.65,6.7,4.12,183.56660000000002
1.51,Ideal,I,SI1,61.8,56.0,10232,7.37,7.34,4.55,246.13589
1.21,Ideal,G,VVS1,60.2,57.0,10232,7.02,6.94,4.2,204.61896000000002
1.51,Premium,G,SI1,62.5,60.0,10235,7.28,7.32,4.56,243.00057600000002
1.61,Ideal,I,SI1,62.4,55.0,10236,7.49,7.52,4.68,263.600064
1.12,Ideal,F,VVS2,60.4,56.0,10236,6.82,6.78,4.11,190.04475600000004
1.6,Very Good,I,VS1,62.3,59.0,10238,7.46,7.51,4.66,261.074636
1.52,Ideal,H,SI1,61.4,55.0,10239,7.38,7.48,4.56,251.722944
1.16,Ideal,D,VS1,61.2,58.0,10241,6.73,6.76,4.13,187.89352399999999
1.31,Ideal,F,VS2,59.6,60.0,10243,7.06,7.16,4.24,214.330304
1.35,Ideal,G,VS1,62.2,57.0,10244,7.09,7.05,4.4,219.9318
1.21,Premium,F,VS1,61.9,58.0,10245,6.82,6.76,4.2,193.63344
1.09,Ideal,F,VVS2,62.1,56.0,10246,6.55,6.59,4.08,176.11115999999998
1.7,Very Good,H,SI2,60.8,56.0,10255,7.67,7.72,4.68,277.11403199999995
1.34,Ideal,H,VVS1,62.1,56.0,10255,7.05,7.11,4.4,220.55220000000003
1.5,Good,H,VS1,63.4,59.0,10256,7.2,7.29,4.59,240.91992
1.21,Ideal,G,VVS2,60.6,56.0,10256,6.9,6.89,4.18,198.72137999999998
1.14,Premium,E,VVS2,59.7,58.0,10258,6.83,6.91,4.1,193.50073
1.04,Very Good,F,IF,63.0,55.0,10264,6.36,6.53,4.06,168.615048
1.07,Ideal,D,VVS2,61.3,58.0,10266,6.55,6.64,4.04,175.70767999999998
1.51,Premium,G,SI1,60.6,60.0,10267,7.45,7.41,4.5,248.42025
1.72,Ideal,G,SI2,62.8,59.0,10268,7.62,7.55,4.76,273.84756
1.74,Premium,H,SI2,62.1,59.0,10270,7.78,7.65,4.79,285.08643
1.5,Good,G,SI1,62.9,58.0,10271,7.17,7.3,4.55,238.15155
1.51,Premium,H,SI1,62.3,59.0,10274,7.29,7.23,4.52,238.234284
1.55,Ideal,D,SI2,61.1,56.0,10275,7.45,7.48,4.56,254.11056
1.23,Very Good,F,VS1,60.8,58.0,10276,6.9,6.94,4.21,201.60006
1.51,Good,H,SI1,61.5,61.0,10277,7.29,7.34,4.5,240.7887
1.55,Premium,H,SI1,61.8,59.0,10277,7.45,7.38,4.58,251.81298
1.57,Ideal,I,VS2,62.7,56.0,10278,7.36,7.4,4.63,252.16832000000002
1.61,Premium,D,SI2,61.3,58.0,10278,7.56,7.49,4.61,261.03848400000004
1.54,Very Good,H,SI1,62.2,58.0,10279,7.32,7.45,4.59,250.31106000000003
1.63,Ideal,D,SI2,59.4,59.0,10281,7.73,7.67,4.57,270.95118700000006
1.53,Premium,I,VS1,61.2,59.0,10282,7.41,7.39,4.53,248.06234700000002
2.04,Ideal,I,SI2,62.8,57.0,10282,8.11,8.07,5.08,332.474316
1.21,Very Good,F,VS2,60.1,58.0,10283,6.85,6.92,4.14,196.24427999999995
1.01,Ideal,E,VVS2,61.4,56.0,10283,6.49,6.45,3.97,166.18618500000002
1.59,Ideal,H,SI1,61.4,55.0,10284,7.56,7.51,4.63,262.87102799999997
1.26,Very Good,F,VS1,62.5,58.0,10284,6.83,6.94,4.3,203.82086
1.25,Very Good,E,VS1,61.5,59.0,10285,6.91,6.95,4.26,204.58437
1.55,Ideal,I,VS1,61.2,55.0,10286,7.49,7.47,4.58,256.252374
1.6,Premium,F,SI2,58.7,58.0,10286,7.76,7.68,4.53,269.973504
1.07,Ideal,E,VVS2,61.7,57.0,10288,6.61,6.55,4.06,175.77973
1.5,Good,H,VS2,63.6,58.0,10291,7.22,7.27,4.61,241.976134
1.5,Good,H,VS2,61.2,61.0,10291,7.25,7.32,4.46,236.69219999999999
1.5,Premium,H,VS2,62.2,58.0,10291,7.27,7.36,4.55,243.45775999999998
1.5,Premium,H,VS2,60.8,59.0,10291,7.34,7.36,4.47,241.480128
1.52,Premium,D,SI2,59.2,62.0,10291,7.51,7.46,4.43,248.188978
1.08,Ideal,E,VS1,61.7,55.0,10292,6.58,6.61,4.07,177.019766
1.61,Very Good,E,SI2,62.6,60.0,10293,7.39,7.49,4.66,257.936126
1.21,Ideal,G,VVS1,61.0,57.0,10295,6.87,6.93,4.21,200.43431099999998
1.08,Ideal,E,VVS2,62.5,57.0,10300,6.52,6.57,4.09,175.200876
1.52,Premium,I,VS1,60.6,57.0,10300,7.51,7.44,4.53,253.11103200000002
1.46,Ideal,G,VS2,62.3,56.0,10302,7.28,7.2,4.51,236.39616
1.5,Good,D,SI2,61.9,61.0,10302,7.31,7.38,4.55,245.46248999999997
1.26,Premium,G,VVS2,62.7,58.0,10302,6.95,6.86,4.33,206.44141000000002
1.23,Ideal,G,VVS2,60.3,57.0,10304,6.98,6.97,4.21,204.819026
1.23,Ideal,G,VVS2,61.0,57.0,10304,6.93,6.9,4.22,201.78773999999999
1.12,Ideal,G,VVS2,61.5,57.0,10305,6.65,6.67,4.1,181.85754999999997
2.14,Premium,J,SI2,58.4,58.0,10306,8.52,8.5,4.97,359.9274
1.52,Premium,D,SI2,61.4,54.0,10308,7.51,7.43,4.59,256.118787
1.18,Ideal,G,VVS2,61.3,55.0,10308,6.86,6.81,4.19,195.742554
1.59,Very Good,I,VS2,61.1,58.6,10309,7.49,7.53,4.59,258.874623
1.71,Ideal,J,VS1,62.4,56.0,10309,7.59,7.63,4.75,275.08057499999995
1.4,Ideal,G,VS2,61.7,56.0,10311,7.2,7.25,4.46,232.812
1.86,Ideal,J,VS2,62.6,56.0,10312,7.95,7.87,4.95,309.704175
1.08,Ideal,E,VVS2,61.8,56.0,10313,6.55,6.59,4.06,175.24786999999998
1.14,Ideal,G,IF,61.1,57.0,10313,6.7,6.76,4.11,186.15012000000002
1.51,Very Good,H,SI1,62.8,55.0,10314,7.29,7.32,4.59,244.935252
1.09,Ideal,E,VVS2,61.6,56.0,10314,6.6,6.64,4.08,178.80192
1.04,Premium,D,VVS2,60.8,58.0,10314,6.53,6.49,3.96,167.823612
1.54,Premium,E,SI1,62.7,58.0,10314,7.37,7.3,4.6,247.4846
1.15,Ideal,F,VS1,61.1,55.0,10316,6.76,6.82,4.15,191.32828000000003
1.52,Ideal,F,SI2,61.8,58.0,10316,7.38,7.4,4.57,249.57684000000003
1.69,Very Good,E,SI2,62.6,59.0,10317,7.53,7.61,4.74,271.61764200000005
1.23,Ideal,G,VVS2,62.2,55.0,10317,6.86,6.9,4.28,202.58952000000002
1.23,Ideal,G,VVS2,62.7,56.0,10317,6.81,6.84,4.28,199.364112
1.51,Very Good,H,VS2,63.0,57.0,10319,7.25,7.3,4.58,242.3965
1.27,Very Good,G,VVS2,61.5,58.0,10321,6.9,6.96,4.26,204.58223999999998
1.13,Ideal,F,VVS2,61.4,56.0,10327,6.77,6.72,4.14,188.346816
1.1,Very Good,F,VVS1,62.2,59.0,10329,6.56,6.69,4.12,180.811968
1.52,Premium,H,SI1,60.1,60.0,10330,7.47,7.45,4.48,249.31872
1.52,Premium,H,SI1,62.5,58.0,10330,7.34,7.28,4.57,244.19886400000001
1.7,Premium,I,SI1,62.0,59.0,10331,7.59,7.64,4.72,273.70147199999997
1.51,Very Good,H,SI1,60.6,59.0,10331,7.41,7.45,4.5,248.42025
1.56,Premium,H,VS2,62.4,58.0,10331,7.44,7.39,4.63,254.564808
1.5,Premium,I,IF,62.9,58.0,10332,7.31,7.21,4.57,240.862307
1.09,Ideal,E,VVS2,60.9,56.0,10333,6.66,6.7,4.07,181.61154000000002
1.56,Ideal,I,VS2,61.8,56.0,10333,7.41,7.45,4.59,253.388655
